Date,Open,High,Low,Close,Volume,Change Pct
2021-04-16,3423.0,3426.0,3259.2,3393.3,0,-1.86
2021-04-19,3132.0,3147.8,2941.3,3081.4,0,-9.19
2021-04-20,2984.5,3133.1,2893.4,3124.4,0,1.4
2021-04-21,3033.1,3143.5,2989.1,3054.9,0,-2.22
2021-04-22,3028.8,3144.4,2839.1,2910.6,0,-4.72
2021-04-23,2785.8,2893.5,2651.3,2836.9,0,-2.53
2021-04-26,2954.2,3063.7,2939.4,3012.0,0,6.17
2021-04-27,3020.1,3149.8,3013.1,3139.0,0,4.22
2021-04-28,3125.7,3216.3,3052.8,3148.1,0,0.29
2021-04-29,3103.5,3151.8,3025.9,3068.3,0,-2.54
2021-04-30,3124.4,3262.0,3115.8,3252.3,0,6.0
2021-05-03,3374.7,3458.9,3360.2,3400.9,0,4.57
2021-05-04,3339.0,3435.4,3222.9,3317.3,0,-2.46
2021-05-05,3334.4,3501.8,3275.1,3472.3,0,4.67
2021-05-06,3495.4,3549.1,3395.0,3469.6,0,-0.08
2021-05-07,3406.3,3585.6,3382.5,3507.9,0,1.11
2021-05-10,3750.7,3790.2,3391.3,3576.8,0,1.96
2021-05-11,3527.4,3680.2,3484.7,3655.7,0,2.2
2021-05-12,3780.8,3780.8,3467.9,3556.8,0,-2.7
2021-05-13,3359.1,3395.3,3062.6,3234.9,0,-9.05
2021-05-14,3259.6,3441.4,3213.7,3325.4,0,2.8
2021-05-17,2828.4,3014.4,2734.4,2860.6,0,-13.98
2021-05-18,2970.0,3024.1,2806.1,2852.1,0,-0.3
2021-05-19,2649.6,2658.0,1856.8,2414.3,0,-15.35
2021-05-20,2437.9,2699.0,2398.3,2572.2,0,6.54
2021-05-21,2548.0,2592.6,2047.0,2234.8,0,-13.12
2021-05-24,2121.1,2477.4,2077.4,2401.3,0,7.45
2021-05-25,2394.9,2454.7,2254.3,2373.3,0,-1.16
2021-05-26,2484.8,2595.3,2407.1,2478.0,0,4.41
2021-05-27,2388.0,2566.8,2369.6,2473.7,0,-0.17
2021-05-28,2407.6,2408.6,2166.7,2184.8,0,-11.68
2021-06-01,2336.7,2388.7,2266.0,2297.3,0,5.15
2021-06-02,2364.5,2449.5,2351.4,2412.9,0,5.03
2021-06-03,2413.3,2528.8,2410.4,2481.5,0,2.84
2021-06-04,2426.5,2426.5,2267.3,2385.7,0,-3.86
2021-06-07,2370.2,2399.0,2189.1,2210.8,0,-7.33
2021-06-08,2142.3,2183.0,1993.0,2170.2,0,-1.84
2021-06-09,2102.9,2332.6,2085.5,2312.4,0,6.55
2021-06-10,2328.5,2381.3,2225.4,2272.5,0,-1.73
2021-06-11,2277.4,2314.7,2231.9,2235.6,0,-1.62
2021-06-14,2358.6,2478.9,2358.6,2440.5,0,9.16
2021-06-15,2463.1,2501.9,2399.0,2426.6,0,-0.57
2021-06-16,2418.1,2447.8,2314.1,2330.2,0,-3.98
2021-06-17,2357.8,2380.7,2255.6,2276.0,0,-2.32
2021-06-18,2276.3,2296.0,2106.7,2144.0,0,-5.8
2021-06-21,2060.7,2079.7,1872.0,1872.1,0,-12.68
2021-06-22,1950.6,1960.1,1697.9,1887.9,0,0.84
2021-06-23,1999.9,2052.1,1927.3,1954.9,0,3.55
2021-06-24,1925.9,2069.3,1907.8,2035.9,0,4.15
2021-06-25,2043.1,2043.1,1845.0,1883.1,0,-7.51
2021-06-28,2015.0,2086.1,1998.2,2073.8,0,10.13
2021-06-29,2076.0,2190.1,2060.4,2164.3,0,4.36
2021-06-30,2100.0,2135.6,2037.2,2127.1,0,-1.72
2021-07-01,2075.6,2095.8,1980.6,2024.9,0,-4.81
2021-07-02,1982.1,2032.1,1959.7,2017.4,0,-0.37
2021-07-06,2114.6,2158.0,2076.3,2089.5,0,3.58
2021-07-07,2128.7,2171.4,2116.9,2121.9,0,1.55
2021-07-08,2049.0,2058.7,1968.6,2004.1,0,-5.55
2021-07-09,2013.4,2055.9,1971.3,2051.6,0,2.37
2021-07-12,2079.7,2082.5,1954.9,1970.5,0,-3.96
2021-07-13,1978.6,1990.6,1907.7,1929.6,0,-2.08
2021-07-14,1884.7,1970.2,1867.7,1957.1,0,1.43
2021-07-15,1931.5,1941.6,1851.9,1887.5,0,-3.56
2021-07-16,1906.8,1912.6,1835.9,1882.9,0,-0.24
2021-07-19,1866.4,1888.3,1798.0,1810.8,0,-3.83
2021-07-20,1734.9,1777.2,1721.8,1758.1,0,-2.91
2021-07-21,1794.4,1956.2,1791.4,1896.0,0,7.85
2021-07-22,1911.8,1955.2,1890.8,1943.0,0,2.48
2021-07-23,1964.3,1982.1,1919.1,1958.8,0,0.81
2021-07-26,2270.9,2393.8,2176.3,2195.4,0,12.08
2021-07-27,2177.2,2289.1,2164.4,2252.9,0,2.62
