blockchain,symbol,id,transaction_type,hash,from,to,timestamp,amount,amount_usd,transaction_count
bitcoin,BTC,1847789123,transfer,f9b1e19228a6e07f463f37010cb44ba85b0bb7af2bc530d58c4a23ff4e2ca076,"{'address': 'bc1qesk068yk23jakj5a5uy20sm7hd83nqsdr9p866eswmruaarg2g6sn89mty', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qnvjqz88zg3l6ys20sgsg3knzxzrtj36pmc3gvxvqt5nm8ppyjq3sa2323g', 'owner_type': 'unknown', 'owner': ''}",1653236594,24.4343,728012.9,1
bitcoin,BTC,1847789176,transfer,ce33f356a3323009677775e6cca32f387fa9990a101e3921d2db05fb0b6af931,"{'address': 'bc1q42xfsjpmnw3va7lxq3mnvvztzpd4d43mwaah43vk46n4mwwllcxqgnyh77', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qeuqvhlhlwk82ksufru3fvj674ntphj5fwmht0kdd85l8p7ugrqzsagdhxv', 'owner_type': 'unknown', 'owner': ''}",1653236594,28.696993,855018.6,1
bitcoin,BTC,1847789244,transfer,f6e3e49498cf74dfb87494ca3c6c584b309be36a9a1fbcb98d75a93f9b8fd040,"{'address': 'Multiple Addresses', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj', 'owner_type': 'unknown', 'owner': ''}",1653236594,187.47588,5585789.5,1
bitcoin,BTC,1847789336,transfer,b2c99222e95b19eb6d61e73864336c29ed35ac2d53c24c7de4a84c8076c1c555,"{'address': 'bc1qvv968scqvvm4ut9c75hf4clan65vuhjlmp3ea8', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1q9y5apcnq8rs9xxzm6ej28g6sagfh2hh44vk843', 'owner_type': 'unknown', 'owner': ''}",1653236594,390.07568,11622193.0,1
bitcoin,BTC,1847789418,transfer,8a32a675415ed88ae3a064f431d51b620da1945f2c88e3b286dda763652347b1,"{'address': 'Multiple Addresses', 'owner': '', 'owner_type': 'unknown'}","{'address': 'bc1q2h0edgsczl2kl7mt9k46fcz7zeqed2cej3altwrevrgp4w99lhtsufzvhr', 'owner_type': 'unknown', 'owner': ''}",1653236594,73.91013,2202131.2,1
bitcoin,BTC,1847789422,transfer,f757c96ad16944f7936b0bd006e6828febff929a227aafe8202e985cb000d1cc,"{'address': 'bc1q2h0edgsczl2kl7mt9k46fcz7zeqed2cej3altwrevrgp4w99lhtsufzvhr', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1q64ysg34jedfjmdqh0gj739rxesl8eyzzxj4pxxmndfamtydm2p4spup6ua', 'owner_type': 'unknown', 'owner': ''}",1653236594,73.91007,2202129.2,1
bitcoin,BTC,1847789434,transfer,3f2c3291f53966f7ab0c9fde08a24ceb75307957f5fba868e2ed5dabd6113d8b,"{'address': 'Multiple Addresses', 'owner': '', 'owner_type': 'unknown'}","{'address': 'bc1q6u255zgr44hrgtfjx3fs96hxc7jmvtjt8dw0nmamuq3mh2d5txcqp2j43j', 'owner_type': 'unknown', 'owner': ''}",1653236594,53.347908,1589485.5,1
bitcoin,BTC,1847789443,transfer,6992f3377f00031e77645a740c084f349c605ab4fadd97b4c0061f996f464c89,"{'address': 'bc1q6u255zgr44hrgtfjx3fs96hxc7jmvtjt8dw0nmamuq3mh2d5txcqp2j43j', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qu9gpt2ep8jq6t7rkg40vskj7aqfmp3jct49uf58r3yduckw60jzq76t68l', 'owner_type': 'unknown', 'owner': ''}",1653236594,53.347847,1589483.8,1
bitcoin,BTC,1847789453,transfer,f157fdf42fd45d6865daf0d67b534aea6c99161f17e506a543892dc6cc462038,"{'address': '3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr', 'owner': '', 'owner_type': 'unknown'}","{'address': 'bc1q9tzseatllrzkwyryrf3prjpkka2qtz9tkp83qg5qp3uav08nqnys3npnxx', 'owner_type': 'unknown', 'owner': ''}",1653236594,122.541824,3651098.5,1
bitcoin,BTC,1847789459,transfer,0f6d1b2273920420c1c832282de3389c5d85ac501a0bb1d9174dd84e7396affb,"{'address': 'bc1q9tzseatllrzkwyryrf3prjpkka2qtz9tkp83qg5qp3uav08nqnys3npnxx', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qqpwj2mv200nnq6glkd5657wrm8j4euafndpq4e667a3808tf54qqw0umag', 'owner_type': 'unknown', 'owner': ''}",1653236594,122.54177,3651096.8,1
bitcoin,BTC,1847789469,transfer,134d45f9bd746f5fd5f8ce429a6358814e32c5107632c68052a33eee56489179,"{'address': '3LQMV3LaeMJfKAE9pBYsWVPDy7psqmiX1w', 'owner_type': 'unknown', 'owner': ''}","{'address': '3QY2Pjkr7uSnZcnkzJy6uSC3hnWQdNxbxV', 'owner_type': 'unknown', 'owner': ''}",1653236594,40.23887,1198905.5,1
bitcoin,BTC,1847789526,transfer,4ad856d46a21f055dc8dde2cf785b56cc05e0a1aec8c577a60e0faa6c72fa60c,"{'address': '3HR6G4Q1rtQR9rgkdxNKp6G6ZGDoAFhvwN', 'owner_type': 'unknown', 'owner': ''}","{'address': 'bc1qsxty2q9hufcf96meusjqspvlu8jcjkultv8qh0', 'owner_type': 'unknown', 'owner': ''}",1653236594,437.5226,13035860.0,1
