"
Symbol

","
ETF Name

","
Asset Class

","
Total Assets ($MM)

","
YTD Price Change

","
Avg. Daily Volume

","
Previous Closing Price

","
1-Day Change

","
1 Week

","
1 Month

","
1 Year

","
3 Year

","
5 Year

","
ETF Database Category

","
Inception

","
ER

","
Commission Free

","
Annual Dividend Rate

","
Dividend Date

","
Dividend

","
Annual Dividend Yield %

","
P/E Ratio

","
Beta

","
# of Holdings

","
% In Top 10

","
Complete

","
ST Cap Gain Rate

","
LT Cap Gain Rate

","
Tax Form

","
Lower Bollinger

","
Upper Bollinger

","
Support 1

","
Resistance 1

","
RSI

","
Advanced

","
Fact Sheet

","
ETF Holdings

","
Chart

","
ETF Home Page

","
Head-To-Head

","
YTD FF

","
1 Week FF

","
4 Week FF

","
1 Year FF

","
3 Year FF

","
5 Year FF

","
Liquidity Rating

","
Expenses Rating

","
Returns Rating

","
Volatility Rating

","
Dividend Rating

","
Concentration Rating

","
ESG Score





","
ESG Score Peer Percentile (%)





","
ESG Score Global Percentile (%)





","
Carbon Intensity (Tons of CO2e / $M Sales)





","
SRI Exclusion Criteria (%)





","
Sustainable Impact Solutions (%)





"
BLOK,Amplify Transformational Data Sharing ETF,Equity,$520.48,-50.71%,"380,260.0",$19.80,5.32%,9.21%,-12.51%,-51.57%,26.42%,N/A,Technology Equities,2018-01-16,0.71%,N/A,$0.66,2020-12-29,$0.66,1.09%,25.56,1.32,51,46.12%,View,40%,20%,1099,$17.25,$21.63,$19.19,$20.11,43.49,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,5.27,15.43%,26.60%,90.82,0.00%,0.85%
BLCN,Siren ETF Trust Siren Nasdaq NexGen Economy ETF,Equity,$125.20,-36.60%,"38,881.0",$26.74,2.93%,5.36%,-9.84%,-42.39%,16.01%,N/A,Large Cap Blend Equities,2018-01-17,0.68%,N/A,$0.31,2021-09-22,$0.02,0.61%,21.29,1.16,65,23.61%,View,40%,20%,1099,$24.58,$28.96,$26.35,$26.99,43.06,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,7.88,54.98%,65.00%,22.31,2.21%,3.50%
LEGR,First Trust Indxx Innovative Transaction & Process ETF,Equity,$119.20,-20.00%,"12,813.0",$34.18,2.12%,0.95%,-7.52%,-16.58%,19.29%,N/A,Large Cap Blend Equities,2018-01-24,0.65%,N/A,$0.56,2021-09-23,$0.17,1.26%,13.33,1.00,105,15.83%,View,40%,20%,1099,$32.70,$36.07,$34.04,$34.28,44.56,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,9.22,88.08%,91.43%,53.88,7.64%,4.33%
BITQ,Bitwise Crypto Industry Innovators ETF,Equity,$50.73,-69.06%,"150,335.0",$6.50,9.80%,17.12%,-20.92%,-71.04%,N/A,N/A,Financials Equities,2021-05-11,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.74,31,63.89%,View,40%,20%,1099,$5.10,$7.73,$6.14,$6.68,41.37,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,0.0,N/A,N/A,N/A,N/A,N/A
BKCH,Global X Blockchain ETF,Equity,$45.14,-73.14%,"168,506.0",$5.82,10.44%,15.25%,-26.45%,N/A,N/A,N/A,Technology Equities,2021-07-12,0.50%,N/A,$0.00,N/A,N/A,0.00%,245.99,4.37,26,69.51%,View,40%,20%,1099,$4.60,$7.34,$5.46,$6.01,39.18,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,0.0,N/A,N/A,N/A,N/A,N/A
DAPP,VanEck Digital Transformation ETF,Equity,$24.22,-72.33%,"116,308.0",$5.13,11.04%,17.39%,-26.08%,-77.55%,N/A,N/A,Technology Equities,2021-04-12,0.50%,N/A,$0.00,N/A,N/A,0.00%,25.68,4.13,26,64.46%,View,40%,20%,1099,$3.92,$6.43,$4.82,$5.29,39.65,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,0.0,N/A,N/A,N/A,N/A,N/A
KOIN,Capital Link Global Fintech Leaders ETF,Equity,$19.03,-21.93%,"2,182.0",$33.71,1.84%,2.35%,-7.51%,-20.61%,28.00%,N/A,Technology Equities,2018-01-30,0.75%,N/A,$0.15,2020-12-28,$0.15,0.34%,26.77,1.01,41,27.49%,View,40%,20%,1099,$31.72,$35.51,$33.50,$33.81,45.74,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,7.53,47.27%,56.86%,33.65,2.90%,3.86%
BITS,Global X Blockchain & Bitcoin Strategy ETF,Multi-Asset,$6.95,-63.48%,"12,289.0",$7.14,9.01%,15.95%,-29.46%,N/A,N/A,N/A,Diversified Portfolio,2021-11-15,0.65%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,100.01%,View,40%,20%,1099,$5.37,$9.26,$6.79,$7.33,38.67,View,View,View,View,View,View,,,,,,,N/A,N/A,,,,,0.0,N/A,N/A,N/A,N/A,N/A
"
Click Here to Join to ETF Database Pro for 14 Days Free, Export This Data & So Much More
"
