indicator,signal,value
RSI(14),neutral,53.969
"STOCH(9,6)",neutral,51.041
STOCHRSI(14),overbought,94.207
"MACD(12,26)",sell,-18.8
ADX(14),buy,26.995
Williams %R,buy,-33.804
CCI(14),buy,55.1309
ATR(14),less_volatility,134.4979
Highs/Lows(14),buy,53.9685
Ultimate Oscillator,buy,55.015
ROC,sell,-2.876
Bull/Bear Power(13),buy,145.168
