kind,domain,title,published_at,slug,currencies,id,url,created_at,source.title,source.region,source.domain,source.path,votes.negative,votes.positive,votes.important,votes.liked,votes.disliked,votes.lol,votes.toxic,votes.saved,votes.comments
news,livebitcoinnews.com,2022 Cryptocurrency Acquisitions Are Coming to a Halt,2022-07-10T17:00:59Z,2022-Cryptocurrency-Acquisitions-Are-Coming-to-a-Halt,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15730123,https://cryptopanic.com/news/15730123/2022-Cryptocurrency-Acquisitions-Are-Coming-to-a-Halt,2022-07-10T17:00:59Z,Live Bitcoin News,en,livebitcoinnews.com,,0,0,0,0,0,0,0,0,0
news,zycrypto.com,US Second Largest Electricity Provider Indicates Interest In Bitcoin Mining,2022-07-10T16:50:26Z,US-Second-Largest-Electricity-Provider-Indicates-Interest-In-Bitcoin-Mining,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]",15730081,https://cryptopanic.com/news/15730081/US-Second-Largest-Electricity-Provider-Indicates-Interest-In-Bitcoin-Mining,2022-07-10T16:50:26Z,ZyCrypto,en,zycrypto.com,,0,1,1,1,0,0,0,0,1
news,zycrypto.com,RBI Governor: Cryptocurrency is a Clear Danger to Financial Stability,2022-07-10T16:33:00Z,RBI-Governor-Cryptocurrency-is-a-Clear-Danger-to-Financial-Stability,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]",15730057,https://cryptopanic.com/news/15730057/RBI-Governor-Cryptocurrency-is-a-Clear-Danger-to-Financial-Stability,2022-07-10T16:33:00Z,ZyCrypto,en,zycrypto.com,,0,0,0,0,0,0,0,0,0
news,ambcrypto.com,Bitcoin Cash [BCH]: Is there a potential shorting opportunity on the cards,2022-07-10T16:30:34Z,Bitcoin-Cash-BCH-Is-there-a-potential-shorting-opportunity-on-the-cards,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'BCH', 'title': 'Bitcoin Cash', 'slug': 'bitcoin-cash', 'url': 'https://cryptopanic.com/news/bitcoin-cash/'}]",15730051,https://cryptopanic.com/news/15730051/Bitcoin-Cash-BCH-Is-there-a-potential-shorting-opportunity-on-the-cards,2022-07-10T16:30:34Z,AMBCrypto,en,ambcrypto.com,,0,0,0,0,0,0,0,0,0
news,cryptoglobe.com,"Bitcoin ($BTC) Is in ‘A Deep Value Zone Here’, Says Investment Strategist Lyn Alden",2022-07-10T15:59:28Z,Bitcoin-BTC-Is-in-A-Deep-Value-Zone-Here-Says-Investment-Strategist-Lyn-Alden,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15730000,https://cryptopanic.com/news/15730000/Bitcoin-BTC-Is-in-A-Deep-Value-Zone-Here-Says-Investment-Strategist-Lyn-Alden,2022-07-10T15:59:28Z,CryptoGlobe,en,cryptoglobe.com,,0,1,0,1,0,0,0,0,0
news,finbold.com,Global crypto ATMs growth shrinks by 32% in Q2,2022-07-10T15:56:54Z,Global-crypto-ATMs-growth-shrinks-by-32-in-Q2,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729968,https://cryptopanic.com/news/15729968/Global-crypto-ATMs-growth-shrinks-by-32-in-Q2,2022-07-10T15:56:54Z,Finbold,en,finbold.com,,0,6,3,5,1,2,0,2,0
news,cointelegraph.com,Bitcoin eyes best weekly gains in 3 months as BTC price slips below $21K,2022-07-10T15:32:45Z,Bitcoin-eyes-best-weekly-gains-in-3-months-as-BTC-price-slips-below-21K,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729937,https://cryptopanic.com/news/15729937/Bitcoin-eyes-best-weekly-gains-in-3-months-as-BTC-price-slips-below-21K,2022-07-10T15:32:45Z,CoinTelegraph,en,cointelegraph.com,,0,2,0,1,0,0,0,0,0
news,u.today,Bitcoin (BTC) Successfully Breaks Through Important Resistance: What's Next?,2022-07-10T15:30:00Z,Bitcoin-BTC-Successfully-Breaks-Through-Important-Resistance-Whats-Next,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729938,https://cryptopanic.com/news/15729938/Bitcoin-BTC-Successfully-Breaks-Through-Important-Resistance-Whats-Next,2022-07-10T15:30:00Z,U.Today,en,u.today,,0,0,0,0,0,0,0,1,0
news,livebitcoinnews.com,"Michael Saylor, At One Point, Didn’t Like BTC",2022-07-10T15:00:15Z,Michael-Saylor-At-One-Point-Didnt-Like-BTC,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729861,https://cryptopanic.com/news/15729861/Michael-Saylor-At-One-Point-Didnt-Like-BTC,2022-07-10T15:00:15Z,Live Bitcoin News,en,livebitcoinnews.com,,0,0,0,0,0,0,0,0,0
news,ambcrypto.com,How is Bitcoin’s dominance affecting the alt season’s schedule,2022-07-10T15:00:09Z,How-is-Bitcoins-dominance-affecting-the-alt-seasons-schedule,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729887,https://cryptopanic.com/news/15729887/How-is-Bitcoins-dominance-affecting-the-alt-seasons-schedule,2022-07-10T15:00:09Z,AMBCrypto,en,ambcrypto.com,,0,0,0,0,0,0,0,0,0
news,bitcoin.com,70 to 90% Down — Crypto Economy’s Decline Shakes Out $2 Trillion in 8 Months,2022-07-10T14:30:59Z,70-to-90-Down-Crypto-Economys-Decline-Shakes-Out-2-Trillion-in-8-Months,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'BNB', 'title': 'BNB', 'slug': 'binancecoin', 'url': 'https://cryptopanic.com/news/binancecoin/'}, {'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]",15729821,https://cryptopanic.com/news/15729821/70-to-90-Down-Crypto-Economys-Decline-Shakes-Out-2-Trillion-in-8-Months,2022-07-10T14:30:59Z,Bitcoin.com,en,bitcoin.com,,0,0,0,0,0,0,0,0,0
news,dailyhodl.com,"Worst of Selling and Liquidations Likely Over for Bitcoin (BTC), Says Macro Guru Lyn Alden",2022-07-10T14:30:19Z,Worst-of-Selling-and-Liquidations-Likely-Over-for-Bitcoin-BTC-Says-Macro-Guru-Lyn-Alden,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729807,https://cryptopanic.com/news/15729807/Worst-of-Selling-and-Liquidations-Likely-Over-for-Bitcoin-BTC-Says-Macro-Guru-Lyn-Alden,2022-07-10T14:30:19Z,The Daily Hodl,en,dailyhodl.com,,1,3,1,3,0,2,0,0,6
news,livebitcoinnews.com,Bitcoin Falls Again Following News of Rate Hikes,2022-07-10T13:00:06Z,Bitcoin-Falls-Again-Following-News-of-Rate-Hikes,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729613,https://cryptopanic.com/news/15729613/Bitcoin-Falls-Again-Following-News-of-Rate-Hikes,2022-07-10T13:00:06Z,Live Bitcoin News,en,livebitcoinnews.com,,0,0,0,1,0,0,0,0,0
news,ethereumworldnews.com,Bitcoin Selling by Mt. Gox Creditors Could Dent BTC’s Recovery in the Markets – Report,2022-07-10T12:57:46Z,Bitcoin-Selling-by-Mt-Gox-Creditors-Could-Dent-BTCs-Recovery-in-the-Markets-Report,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729611,https://cryptopanic.com/news/15729611/Bitcoin-Selling-by-Mt-Gox-Creditors-Could-Dent-BTCs-Recovery-in-the-Markets-Report,2022-07-10T12:57:46Z,Ethereum World News,en,ethereumworldnews.com,,0,0,0,1,0,0,0,0,0
news,finbold.com,Rockefeller International Chairman expresses confidence in Bitcoin’s comeback,2022-07-10T12:04:03Z,Rockefeller-International-Chairman-expresses-confidence-in-Bitcoins-comeback,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729555,https://cryptopanic.com/news/15729555/Rockefeller-International-Chairman-expresses-confidence-in-Bitcoins-comeback,2022-07-10T12:04:03Z,Finbold,en,finbold.com,,2,9,5,6,2,2,0,4,1
news,beincrypto.com,Peter Schiff Would Accept Bitcoin in Sale of Embattled Euro Pacific Bank,2022-07-10T12:00:00Z,Peter-Schiff-Would-Accept-Bitcoin-in-Sale-of-Embattled-Euro-Pacific-Bank,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729549,https://cryptopanic.com/news/15729549/Peter-Schiff-Would-Accept-Bitcoin-in-Sale-of-Embattled-Euro-Pacific-Bank,2022-07-10T12:00:00Z,BeInCrypto,en,beincrypto.com,,0,0,0,0,0,0,0,0,0
news,dailyhodl.com,"Pronounced Bitcoin (BTC) Move Impending, According to Glassnode Co-Founders – Here’s When",2022-07-10T11:45:19Z,Pronounced-Bitcoin-BTC-Move-Impending-According-to-Glassnode-Co-Founders-Heres-When,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",15729517,https://cryptopanic.com/news/15729517/Pronounced-Bitcoin-BTC-Move-Impending-According-to-Glassnode-Co-Founders-Heres-When,2022-07-10T11:45:19Z,The Daily Hodl,en,dailyhodl.com,,1,3,0,4,0,0,0,1,0
news,cryptopotato.com,Tether Liquidated an Overcollateralized Bitcoin Loan From Celsius Without Risk,2022-07-10T11:42:27Z,Tether-Liquidated-an-Overcollateralized-Bitcoin-Loan-From-Celsius-Without-Risk,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}]",15729515,https://cryptopanic.com/news/15729515/Tether-Liquidated-an-Overcollateralized-Bitcoin-Loan-From-Celsius-Without-Risk,2022-07-10T11:42:27Z,Feed - Cryptopotato.Com,en,cryptopotato.com,,0,0,0,0,0,0,0,0,0
news,ethereumworldnews.com,Three Arrows Capital Bankruptcy Filing Claims Location of Co-founders is Currently Unknown,2022-07-10T11:08:25Z,Three-Arrows-Capital-Bankruptcy-Filing-Claims-Location-of-Co-founders-is-Currently-Unknown,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",15729458,https://cryptopanic.com/news/15729458/Three-Arrows-Capital-Bankruptcy-Filing-Claims-Location-of-Co-founders-is-Currently-Unknown,2022-07-10T11:08:25Z,Ethereum World News,en,ethereumworldnews.com,,5,0,1,0,2,1,0,0,2
news,cointelegraph.com,BTC bull Michael Saylor: Ethereum is 'obviously' a security,2022-07-10T09:46:00Z,BTC-bull-Michael-Saylor-Ethereum-is-obviously-a-security,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",15729271,https://cryptopanic.com/news/15729271/BTC-bull-Michael-Saylor-Ethereum-is-obviously-a-security,2022-07-10T09:46:00Z,CoinTelegraph,en,cointelegraph.com,,0,0,0,0,0,0,0,0,0
